model,env,N,D,seed,think,reasoning_effort,reflect,actuate,outcome,finish_kind,actuate_retries,reflections,experiments,invalid_requests,total_calls,repeats,best_loss,final_regret,optimum_loss,claim_matches_best,elapsed_ms,cost_usd
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,self,True,finished,clean,0,12,12,1,13,0,2.34227,0.00025615828258196416,2.342013841717418,True,22687,0
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,fresh,False,finished,clean,0,6,9,0,9,0,2.35131,0.009296158282581679,2.342013841717418,True,53042,0
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,fresh,True,finished,nudged,1,12,14,2,16,0,2.34216,0.00014615828258168762,2.342013841717418,True,95501,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,off,False,finished,clean,0,0,17,0,17,0,2.35041,0.008396158282582,2.342013841717418,True,28046,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,off,True,finished,nudged,1,0,18,0,18,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,34127,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,self,False,stalled,,0,21,21,6,27,0,2.35041,0.008396158282582,2.342013841717418,,132210,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,self,True,finished,clean,0,17,17,0,17,0,2.34364,0.0016261582825820575,2.342013841717418,True,34117,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,fresh,False,stalled,,0,7,9,1,10,0,2.35577,0.013756158282582032,2.342013841717418,,73097,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,fresh,True,finished,forced,3,12,13,2,15,1,2.34636,0.004346158282581669,2.342013841717418,True,99790,0
nemotron-3-nano:4b,A,214663680,100000000000,16,low,low,off,False,finished,clean,0,0,18,1,19,0,2.35178,0.009766158282582094,2.342013841717418,True,33099,0
nemotron-3-nano:4b,A,214663680,100000000000,16,low,low,off,True,finished,clean,0,0,12,1,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,21176,0
nemotron-3-nano:4b,A,214663680,100000000000,16,low,low,self,False,finished,clean,0,11,11,2,13,0,2.35041,0.008396158282582,2.342013841717418,True,22667,0
nemotron-3-nano:4b,A,214663680,100000000000,16,low,low,self,True,finished,clean,0,13,13,0,13,0,2.35835,0.01633615828258206,2.342013841717418,True,22308,0
nemotron-3-nano:4b,A,214663680,100000000000,16,low,low,fresh,False,stalled,,0,12,14,0,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,,85220,0
nemotron-3-nano:4b,A,214663680,100000000000,16,low,low,fresh,True,finished,forced,3,11,15,2,17,1,2.34216,0.00014615828258168762,2.342013841717418,True,129041,0
nemotron-3-nano:4b,A,214663680,100000000000,17,low,low,off,False,finished,clean,0,0,12,0,12,0,2.34227,0.00025615828258196416,2.342013841717418,True,21043,0
nemotron-3-nano:4b,A,214663680,100000000000,17,low,low,off,True,finished,nudged,1,0,22,0,22,0,2.34364,0.0016261582825820575,2.342013841717418,True,37340,0
nemotron-3-nano:4b,A,214663680,100000000000,17,low,low,self,False,finished,clean,0,12,12,0,12,0,2.34667,0.004656158282581924,2.342013841717418,True,21512,0
nemotron-3-nano:4b,A,214663680,100000000000,17,low,low,self,True,finished,clean,0,16,16,1,17,0,2.34364,0.0016261582825820575,2.342013841717418,True,29861,0
nemotron-3-nano:4b,A,214663680,100000000000,17,low,low,fresh,False,stalled,,0,9,11,6,17,0,2.34216,0.00014615828258168762,2.342013841717418,,83049,0
nemotron-3-nano:4b,A,214663680,100000000000,17,low,low,fresh,True,finished,clean,0,7,10,1,11,0,2.34999,0.007976158282581913,2.342013841717418,True,55291,0
nemotron-3-nano:4b,A,214663680,100000000000,18,low,low,off,False,finished,clean,0,0,9,0,9,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16350,0
nemotron-3-nano:4b,A,214663680,100000000000,18,low,low,off,True,finished,clean,0,0,15,0,15,0,2.34364,0.0016261582825820575,2.342013841717418,True,26064,0
nemotron-3-nano:4b,A,214663680,100000000000,18,low,low,self,False,stalled,,0,20,20,2,22,0,2.35561,0.013596158282581872,2.342013841717418,,54169,0
nemotron-3-nano:4b,A,214663680,100000000000,18,low,low,self,True,finished,clean,0,10,10,0,10,0,2.34364,0.0016261582825820575,2.342013841717418,True,18881,0
nemotron-3-nano:4b,A,214663680,100000000000,18,low,low,fresh,False,finished,clean,0,12,14,2,16,1,2.34201,-3.841717417962798e-06,2.342013841717418,True,81981,0
nemotron-3-nano:4b,A,214663680,100000000000,18,low,low,fresh,True,finished,clean,0,10,10,1,11,0,2.36071,0.018696158282581976,2.342013841717418,True,55010,0
nemotron-3-nano:4b,A,214663680,100000000000,19,low,low,off,False,stalled,,0,0,18,0,18,0,2.34672,0.004706158282581807,2.342013841717418,,45264,0
nemotron-3-nano:4b,A,214663680,100000000000,19,low,low,off,True,finished,clean,0,0,8,2,10,0,2.35561,0.013596158282581872,2.342013841717418,True,16605,0
nemotron-3-nano:4b,A,214663680,100000000000,19,low,low,self,False,finished,clean,0,16,16,1,17,1,2.34201,-3.841717417962798e-06,2.342013841717418,False,38323,0
nemotron-3-nano:4b,A,214663680,100000000000,19,low,low,self,True,finished,nudged,1,20,20,0,20,0,2.34364,0.0016261582825820575,2.342013841717418,True,48186,0
nemotron-3-nano:4b,A,214663680,100000000000,19,low,low,fresh,False,stalled,,0,8,13,1,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,,73348,0
nemotron-3-nano:4b,A,214663680,100000000000,19,low,low,fresh,True,finished,clean,0,4,5,2,7,0,2.35908,0.017066158282581956,2.342013841717418,True,34385,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,off,False,finished,clean,0,0,14,0,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,31850,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,off,True,finished,clean,0,0,11,0,11,0,2.34364,0.0016261582825820575,2.342013841717418,True,19393,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,self,False,stalled,,0,4,4,0,4,0,2.38443,0.04241615828258194,2.342013841717418,,7400,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,self,True,finished,nudged,1,12,12,0,12,0,2.34378,0.0017661582825820865,2.342013841717418,True,27305,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,fresh,False,finished,clean,0,7,11,0,11,0,2.34216,0.00014615828258168762,2.342013841717418,True,82266,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,fresh,True,finished,clean,0,8,15,0,15,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,101833,0
nemotron-3-nano:4b,A,214663680,100000000000,20,low,low,off,False,finished,clean,0,0,21,1,22,0,2.34636,0.004346158282581669,2.342013841717418,True,50215,0
nemotron-3-nano:4b,A,214663680,100000000000,20,low,low,off,True,finished,nudged,1,0,18,3,21,1,2.35835,0.01633615828258206,2.342013841717418,True,63254,0
nemotron-3-nano:4b,A,214663680,100000000000,20,low,low,self,False,stalled,,0,13,13,1,14,0,2.34364,0.0016261582825820575,2.342013841717418,,27882,0
nemotron-3-nano:4b,A,214663680,100000000000,20,low,low,self,True,finished,clean,0,9,9,2,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,19300,0
nemotron-3-nano:4b,A,214663680,100000000000,20,low,low,fresh,False,finished,clean,0,9,11,2,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,72803,0
nemotron-3-nano:4b,A,214663680,100000000000,20,low,low,fresh,True,finished,nudged,1,8,13,5,18,0,2.34667,0.004656158282581924,2.342013841717418,True,94769,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,off,False,finished,clean,0,0,15,0,15,0,2.34364,0.0016261582825820575,2.342013841717418,True,25653,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,off,True,finished,nudged,1,0,16,2,18,0,2.34378,0.0017661582825820865,2.342013841717418,True,34941,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,self,False,stalled,,0,16,16,1,17,1,2.35041,0.008396158282582,2.342013841717418,,34143,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,self,True,finished,clean,0,8,8,3,11,0,2.34691,0.00489615828258172,2.342013841717418,True,21445,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,fresh,False,stalled,,0,8,14,2,16,0,2.3445,0.0024861582825819184,2.342013841717418,,94433,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,fresh,True,finished,clean,0,11,13,4,17,0,2.35024,0.008226158282581775,2.342013841717418,True,82105,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,off,False,finished,clean,0,0,14,0,14,0,2.35131,0.009296158282581679,2.342013841717418,True,24680,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,off,True,finished,forced,3,0,23,2,25,0,2.35131,0.009296158282581679,2.342013841717418,True,75462,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,self,False,finished,clean,0,8,8,1,9,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16931,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,self,True,finished,nudged,2,12,12,0,12,0,2.34364,0.0016261582825820575,2.342013841717418,True,27253,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,fresh,False,stalled,,0,14,17,0,17,0,2.34201,-3.841717417962798e-06,2.342013841717418,,115221,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,fresh,True,finished,clean,0,6,8,0,8,0,2.34201,-3.841717417962798e-06,2.342013841717418,False,46019,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,off,False,stalled,,0,0,18,3,21,0,2.34364,0.0016261582825820575,2.342013841717418,,39638,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,off,True,finished,nudged,1,0,3,1,4,0,2.36667,0.02465615828258194,2.342013841717418,False,28458,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,self,False,finished,clean,0,6,6,1,7,0,2.34364,0.0016261582825820575,2.342013841717418,True,13626,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,self,True,finished,nudged,1,14,14,2,16,1,2.34227,0.00025615828258196416,2.342013841717418,True,34936,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,fresh,False,finished,clean,0,10,12,2,14,0,2.34216,0.00014615828258168762,2.342013841717418,True,74732,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,fresh,True,finished,nudged,1,8,13,5,18,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,109518,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,off,False,finished,clean,0,0,11,0,11,0,2.34364,0.0016261582825820575,2.342013841717418,True,18683,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,off,True,finished,clean,0,0,9,0,9,0,2.36766,0.025646158282581766,2.342013841717418,True,13975,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,self,False,finished,clean,0,7,7,2,9,0,2.3445,0.0024861582825819184,2.342013841717418,True,18088,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,self,True,finished,nudged,1,21,21,1,22,0,2.34364,0.0016261582825820575,2.342013841717418,True,61250,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,fresh,False,finished,clean,0,9,14,2,16,0,2.34364,0.0016261582825820575,2.342013841717418,True,76379,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,fresh,True,finished,nudged,1,7,9,3,12,0,2.34446,0.0024461582825821004,2.342013841717418,True,51732,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,off,False,stalled,,0,0,2,0,2,0,2.37972,0.037706158282581725,2.342013841717418,,3704,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,off,True,finished,nudged,1,0,14,0,14,0,2.35835,0.01633615828258206,2.342013841717418,True,28505,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,self,False,finished,clean,0,11,11,1,12,0,2.35561,0.013596158282581872,2.342013841717418,True,20839,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,self,True,finished,forced,3,17,17,2,19,1,2.34364,0.0016261582825820575,2.342013841717418,True,72357,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,fresh,False,finished,clean,0,8,14,2,16,0,2.34364,0.0016261582825820575,2.342013841717418,True,96923,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,fresh,True,finished,nudged,1,11,14,3,17,0,2.34667,0.004656158282581924,2.342013841717418,True,81222,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,off,False,stalled,,0,0,7,1,8,0,2.36766,0.025646158282581766,2.342013841717418,,11210,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,off,True,finished,clean,0,0,11,0,11,0,2.36074,0.01872615828258173,2.342013841717418,True,20370,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,self,False,finished,clean,0,17,17,1,18,0,2.34791,0.0058961582825820535,2.342013841717418,True,32819,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,self,True,finished,nudged,1,12,12,0,12,0,2.35178,0.009766158282582094,2.342013841717418,True,26165,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,fresh,False,finished,clean,0,3,8,2,10,0,2.34364,0.0016261582825820575,2.342013841717418,True,51258,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,fresh,True,finished,clean,0,5,6,1,7,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,30531,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,off,False,finished,clean,0,0,18,1,19,0,2.34364,0.0016261582825820575,2.342013841717418,True,30773,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,off,True,finished,nudged,1,0,16,1,17,0,2.34227,0.00025615828258196416,2.342013841717418,True,40922,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,self,False,finished,clean,0,13,13,0,13,0,2.34227,0.00025615828258196416,2.342013841717418,True,24011,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,self,True,finished,clean,0,14,14,0,14,0,2.34667,0.004656158282581924,2.342013841717418,True,26473,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,fresh,False,stalled,,0,14,17,0,17,0,2.34364,0.0016261582825820575,2.342013841717418,,101839,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,fresh,True,finished,clean,0,7,9,0,9,0,2.34216,0.00014615828258168762,2.342013841717418,True,55690,0
